,"Etat","Absence","CESP","Etudiant","Voeu","Rang","Subdivision","Discipline","Désir (non officiel)","Offre","SubDis"
634,"affecté","","","53","1","3/4","BORDEAUX","Spécialité médicale : Néphrologie","","4","[037022]"
635,"affecté","","","624","1","4/7","MONTPELLIER","Spécialité médicale : Cardiologie et maladies vasculaires","","7","[035013]"
636,"affecté","","","625","1","4/4","TOULOUSE","Spécialité médicale : Néphrologie","","4","[040022]"
637,"affecté","","","626","1","11/18","ILE DE FRANCE","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","18","[015031]"
638,"affecté","","","627","1","21/45","ILE DE FRANCE","Spécialité médicale : Cardiologie et maladies vasculaires","","45","[015013]"
639,"affecté","","","628","1","7/8","LYON","Spécialité médicale : Médecine interne","","8","[026019]"
640,"affecté","","","629","1","7/21","LYON","Spécialité chirurgicale : Chirurgie générale","Chirurgie plastique, reconstructrice et esthétique","21","[026028]"
641,"affecté","","","630","1","23/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","63","[015028]"
642,"affecté","","","631","1","1/225","AIX MARSEILLE","Discipline : MÉDECINE générale","","225","[034011]"
643,"affecté","","","632","1","12/79","ILE DE FRANCE","Discipline : PÉDIATRIE","","79","[015002]"
644,"affecté","","","633","1","3/5","MONTPELLIER","Spécialité médicale : Dermatologie et vénérologie","","5","[035014]"
645,"affecté","","","634","1","1/12","ANGERS","Spécialité chirurgicale : Chirurgie générale","Chirurgie vasculaire","12","[028028]"
646,"affecté","absence","","635","1","1/102","ILE DE FRANCE","Discipline : PSYCHIATRIE","","102","[015010]"
647,"affecté","","","636","1","2/6","LYON","Spécialité médicale : Neurologie","","6","[026023]"
648,"affecté","","","637","1","3/3","TOURS","Spécialité médicale : Dermatologie et vénérologie","","3","[033014]"
649,"affecté","","","638","1","3/5","BORDEAUX","Spécialité médicale : Gastro-entérologie et hépatologie","","5","[037016]"
650,"affecté","","","639","1","2/5","GRENOBLE","Spécialité chirurgicale : Ophtalmologie","","5","[025030]"
651,"affecté","","","640","1","16/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
652,"affecté","","","641","1","5/11","LILLE","Spécialité médicale : Cardiologie et maladies vasculaires","","11","[023013]"
653,"affecté","","","642","1","7/45","ILE DE FRANCE","Discipline : GYNÉCOLOGIE obstétrique","","45","[015009]"
654,"affecté","","","643","1","4/6","AIX MARSEILLE","Spécialité chirurgicale : Ophtalmologie","","6","[034030]"
655,"affecté","","","644","1","2/102","ILE DE FRANCE","Discipline : PSYCHIATRIE","","102","[015010]"
656,"affecté","","","645","1","6/7","MONTPELLIER","Spécialité médicale : Radiodiagnostic et imagerie médicale","","7","[035026]"
657,"affecté","","","646","1","3/6","LYON","Spécialité médicale : Neurologie","","6","[026023]"
658,"affecté","absence","","647","1","3/17","ILE DE FRANCE","Spécialité médicale : Pneumologie","","17","[015025]"
659,"affecté","","","648","1","1/1","ANGERS","Spécialité chirurgicale : Ophtalmologie","","1","[028030]"
660,"affecté","absence","","649","1","3/31","LILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","31","[023028]"
661,"affecté","","","650","1","7/10","LYON","Spécialité médicale : Cardiologie et maladies vasculaires","","10","[026013]"
662,"affecté","","","651","1","6/10","AIX MARSEILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","10","[034026]"
663,"affecté","","","652","1","3/12","MONTPELLIER","Discipline : PÉDIATRIE","","12","[035002]"
664,"affecté","","","653","1","13/79","ILE DE FRANCE","Discipline : PÉDIATRIE","","79","[015002]"
665,"affecté","absence","","654","1","7/7","MONTPELLIER","Spécialité médicale : Radiodiagnostic et imagerie médicale","","7","[035026]"
666,"affecté","","","655","2","2/3","RENNES","Spécialité chirurgicale : Ophtalmologie","","3","[032030]"
667,"affecté","","","656","1","1/3","RENNES","Spécialité médicale : Dermatologie et vénérologie","","3","[032014]"
668,"affecté","","","657","1","2/6","NANTES","Spécialité médicale : Radiodiagnostic et imagerie médicale","","6","[030026]"
669,"affecté","","","658","1","25/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
670,"affecté","","","659","1","1/2","NICE","Spécialité chirurgicale : Ophtalmologie","","2","[036030]"
671,"affecté","","","660","1","5/22","TOULOUSE","Discipline : ANESTHÉSIE réanimation","","22","[040004]"
672,"affecté","","","661","1","1/6","TOULOUSE","Discipline : GYNÉCOLOGIE obstétrique","","6","[040009]"
673,"affecté","","","662","1","3/6","BORDEAUX","Spécialité chirurgicale : Ophtalmologie","","6","[037030]"
674,"affecté","","","663","1","10/25","LYON","Discipline : ANESTHÉSIE réanimation","","25","[026004]"
675,"affecté","","","664","1","2/3","NICE","Spécialité médicale : Oncologie","","3","[036024]"
676,"affecté","absence","","665","1","2/2","RENNES","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","2","[032031]"
677,"affecté","absence","","666","1","11/25","LYON","Discipline : ANESTHÉSIE réanimation","","25","[026004]"
678,"affecté","","","667","1","1/10","LYON","Discipline : GYNÉCOLOGIE obstétrique","","10","[026009]"
679,"affecté","","","668","2","7/13","LYON","Spécialité médicale : Radiodiagnostic et imagerie médicale","","13","[026026]"
680,"affecté","","","669","1","12/25","LYON","Discipline : ANESTHÉSIE réanimation","","25","[026004]"
681,"affecté","","","670","1","5/6","TOULOUSE","Spécialité chirurgicale : Ophtalmologie","","6","[040030]"
682,"affecté","","","671","1","24/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie infantile","63","[015028]"
683,"affecté","","","672","1","6/9","BORDEAUX","Spécialité médicale : Cardiologie et maladies vasculaires","","9","[037013]"
684,"affecté","absence","","673","1","3/6","LYON","Spécialité médicale : Pneumologie","","6","[026025]"
685,"affecté","","","674","1","1/6","BREST","Discipline : ANESTHÉSIE réanimation","","6","[029004]"
686,"affecté","","","675","1","1/79","BESANCON","Discipline : MÉDECINE générale","","79","[016011]"
687,"affecté","","","676","1","6/17","LILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","17","[023026]"
688,"affecté","","","221","1","7/17","LILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","17","[023026]"
689,"affecté","","","677","1","1/1","GRENOBLE","Discipline : GYNÉCOLOGIE médicale","","1","[025005]"
690,"affecté","","","678","1","4/9","LILLE","Spécialité chirurgicale : Ophtalmologie","","9","[023030]"
691,"affecté","","","679","1","4/5","BORDEAUX","Spécialité médicale : Gastro-entérologie et hépatologie","","5","[037016]"
692,"affecté","","","680","1","3/8","AIX MARSEILLE","Spécialité médicale : Cardiologie et maladies vasculaires","","8","[034013]"
693,"affecté","absence","","681","1","6/22","TOULOUSE","Discipline : ANESTHÉSIE réanimation","","22","[040004]"
694,"affecté","","","682","1","8/17","LILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","17","[023026]"
695,"affecté","","","683","1","4/5","STRASBOURG","Spécialité chirurgicale : Ophtalmologie","","5","[020030]"
696,"affecté","","","684","1","7/10","AIX MARSEILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","10","[034026]"
697,"affecté","","","685","1","4/4","TOULOUSE","Spécialité médicale : Médecine interne","","4","[040019]"
698,"affecté","","","686","1","4/6","LILLE","Spécialité médicale : Médecine interne","","6","[023019]"
699,"affecté","","","687","1","1/8","RENNES","Spécialité médicale : Radiodiagnostic et imagerie médicale","","8","[032026]"
700,"affecté","","","688","1","5/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
701,"affecté","","","689","1","3/102","ILE DE FRANCE","Discipline : PSYCHIATRIE","","102","[015010]"
702,"affecté","","","690","1","3/4","BORDEAUX","Spécialité médicale : Neurologie","","4","[037023]"
703,"affecté","","","691","1","2/3","RENNES","Spécialité médicale : Médecine interne","","3","[032019]"
704,"affecté","absence","","692","1","2/4","BORDEAUX","Spécialité médicale : Endocrinologie, diabÃ¨te, maladies métaboliques","","4","[037015]"
705,"affecté","","","693","1","9/17","LILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","17","[023026]"
706,"affecté","absence","","694","1","3/6","AIX MARSEILLE","Spécialité médicale : Médecine interne","","6","[034019]"
707,"affecté","","","695","2","26/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
708,"affecté","","","696","1","8/8","LYON","Spécialité médicale : Médecine interne","","8","[026019]"
709,"affecté","","","697","1","3/12","ILE DE FRANCE","Spécialité médicale : Anatomie et cytologie pathologique","","12","[015012]"
710,"affecté","","","698","1","6/11","LILLE","Spécialité médicale : Cardiologie et maladies vasculaires","","11","[023013]"
712,"affecté","","","700","1","1/13","NANCY","Discipline : ANESTHÉSIE réanimation","","13","[018004]"
713,"affecté","","","701","1","10/10","BORDEAUX","Spécialité médicale : Radiodiagnostic et imagerie médicale","","10","[037026]"
714,"affecté","absence","","702","1","3/25","ILE DE FRANCE","Spécialité médicale : Oncologie","","25","[015024]"
715,"affecté","","","703","1","1/4","BREST","Spécialité médicale : Radiodiagnostic et imagerie médicale","","4","[029026]"
716,"affecté","","","704","1","14/79","ILE DE FRANCE","Discipline : PÉDIATRIE","","79","[015002]"
717,"affecté","","","705","1","25/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","63","[015028]"
718,"affecté","","","706","1","1/10","NANCY","Spécialité médicale : Radiodiagnostic et imagerie médicale","","10","[018026]"
719,"affecté","","","707","1","5/7","MONTPELLIER","Spécialité médicale : Cardiologie et maladies vasculaires","","7","[035013]"
720,"affecté","","","708","1","4/22","AIX MARSEILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","22","[034028]"
721,"affecté","absence","","709","1","8/45","ILE DE FRANCE","Discipline : GYNÉCOLOGIE obstétrique","","45","[015009]"
722,"affecté","","","710","1","22/45","ILE DE FRANCE","Spécialité médicale : Cardiologie et maladies vasculaires","","45","[015013]"
723,"affecté","","","711","1","27/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
724,"affecté","","","712","1","2/3","SAINT ETIENNE","Spécialité médicale : Cardiologie et maladies vasculaires","","3","[027013]"
725,"affecté","","","713","2","8/13","LYON","Spécialité médicale : Radiodiagnostic et imagerie médicale","","13","[026026]"
726,"affecté","","","714","1","7/11","LILLE","Spécialité médicale : Cardiologie et maladies vasculaires","","11","[023013]"
727,"affecté","","","715","1","15/79","ILE DE FRANCE","Discipline : PÉDIATRIE","","79","[015002]"
728,"affecté","absence","","716","1","1/2","GRENOBLE","Spécialité médicale : Hématologie","","2","[025018]"
729,"affecté","","","717","1","4/5","AIX MARSEILLE","Spécialité médicale : Gastro-entérologie et hépatologie","","5","[034016]"
730,"affecté","absence","","718","3","4/5","MONTPELLIER","Spécialité médicale : Dermatologie et vénérologie","","5","[035014]"
731,"affecté","","","719","1","4/15","ILE DE FRANCE","Spécialité médicale : Rhumatologie","","15","[015027]"
732,"affecté","","","720","1","3/9","TOULOUSE","Spécialité médicale : Cardiologie et maladies vasculaires","","9","[040013]"
733,"affecté","","","721","2","1/4","AMIENS","Spécialité chirurgicale : Ophtalmologie","","4","[021030]"
734,"affecté","absence","","722","1","10/17","LILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","17","[023026]"
735,"affecté","absence","","723","1","5/5","BORDEAUX","Spécialité médicale : Gastro-entérologie et hépatologie","","5","[037016]"
736,"affecté","absence","","724","1","17/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
737,"affecté","","","725","1","4/6","BORDEAUX","Spécialité chirurgicale : Ophtalmologie","","6","[037030]"
738,"affecté","","","726","1","26/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie maxillo-faciale et stomatologie","63","[015028]"
739,"affecté","","","727","1","5/6","BORDEAUX","Spécialité chirurgicale : Ophtalmologie","","6","[037030]"
740,"affecté","","","728","1","3/4","NANTES","Spécialité médicale : Médecine interne","","4","[030019]"
741,"affecté","","","729","1","4/4","NANTES","Spécialité chirurgicale : Ophtalmologie","","4","[030030]"
742,"affecté","","","699","1","2/6","CLERMONT-FERRAND","Spécialité médicale : Cardiologie et maladies vasculaires","","6","[038013]"
743,"affecté","","","730","1","16/79","ILE DE FRANCE","Discipline : PÉDIATRIE","","79","[015002]"
744,"affecté","absence","","731","1","3/7","LYON","Spécialité médicale : Gastro-entérologie et hépatologie","","7","[026016]"
745,"affecté","","","732","1","1/3","NANTES","Spécialité médicale : Dermatologie et vénérologie","","3","[030014]"
746,"affecté","","","733","1","1/6","NICE","Discipline : PÉDIATRIE","","6","[036002]"
747,"affecté","","","734","1","2/4","BREST","Spécialité médicale : Radiodiagnostic et imagerie médicale","","4","[029026]"
748,"affecté","","","735","1","5/611","ILE DE FRANCE","Discipline : MÉDECINE générale","","611","[015011]"
749,"affecté","","","736","1","5/5","STRASBOURG","Spécialité chirurgicale : Ophtalmologie","","5","[020030]"
750,"affecté","","","737","1","1/4","MONTPELLIER","Spécialité médicale : Rhumatologie","","4","[035027]"
751,"affecté","","","738","1","4/31","LILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","31","[023028]"
752,"affecté","","","739","2","5/6","LILLE","Spécialité médicale : Médecine interne","","6","[023019]"
753,"affecté","","","740","1","9/45","ILE DE FRANCE","Discipline : GYNÉCOLOGIE obstétrique","","45","[015009]"
754,"affecté","","","741","3","3/9","TOULOUSE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","9","[040026]"
755,"affecté","absence","","742","1","4/25","ILE DE FRANCE","Spécialité médicale : Oncologie","","25","[015024]"
756,"affecté","","","743","1","1/13","STRASBOURG","Discipline : ANESTHÉSIE réanimation","","13","[020004]"
757,"affecté","","","744","1","8/11","LILLE","Spécialité médicale : Cardiologie et maladies vasculaires","","11","[023013]"
758,"affecté","","","745","1","1/6","BORDEAUX","Spécialité médicale : Oncologie","","6","[037024]"
759,"affecté","","","746","1","6/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
760,"affecté","","","747","1","7/9","LYON","Spécialité chirurgicale : Ophtalmologie","","9","[026030]"
761,"affecté","","","748","1","1/13","STRASBOURG","Discipline : PSYCHIATRIE","","13","[020010]"
762,"affecté","","","749","1","4/12","MONTPELLIER","Discipline : PÉDIATRIE","","12","[035002]"
763,"affecté","","","750","1","6/7","MONTPELLIER","Spécialité médicale : Cardiologie et maladies vasculaires","","7","[035013]"
764,"affecté","","","751","1","3/5","MONTPELLIER","Spécialité médicale : Neurologie","","5","[035023]"
765,"affecté","","","752","1","28/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
766,"affecté","","","753","1","3/3","RENNES","Spécialité médicale : Médecine interne","","3","[032019]"
767,"affecté","","","754","1","3/3","RENNES","Spécialité chirurgicale : Ophtalmologie","","3","[032030]"
768,"affecté","","","755","1","27/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","63","[015028]"
769,"affecté","","","756","1","6/21","ILE DE FRANCE","Spécialité médicale : Gastro-entérologie et hépatologie","","21","[015016]"
770,"affecté","absence","","757","1","1/93","TOURS","Discipline : MÉDECINE générale","","93","[033011]"
771,"affecté","","","758","2","29/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
772,"affecté","","","759","1","9/11","LILLE","Spécialité médicale : Cardiologie et maladies vasculaires","","11","[023013]"
773,"affecté","","","760","1","17/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
774,"affecté","","","761","1","28/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","63","[015028]"
775,"affecté","absence","","762","1","18/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
776,"affecté","","","763","1","12/18","ILE DE FRANCE","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","18","[015031]"
777,"affecté","","","764","1","2/17","AIX MARSEILLE","Discipline : PÉDIATRIE","","17","[034002]"
778,"affecté","absence","","765","1","1/7","TOURS","Spécialité médicale : Cardiologie et maladies vasculaires","","7","[033013]"
779,"affecté","","","766","1","8/10","LYON","Spécialité médicale : Cardiologie et maladies vasculaires","","10","[026013]"
780,"affecté","","","767","1","13/18","ILE DE FRANCE","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","18","[015031]"
781,"affecté","","","768","1","30/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
782,"affecté","","","769","1","8/21","LYON","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","21","[026028]"
783,"affecté","absence","","770","1","1/29","LILLE","Discipline : ANESTHÉSIE réanimation","","29","[023004]"
784,"affecté","","","771","1","8/17","ILE DE FRANCE","Spécialité médicale : Dermatologie et vénérologie","","17","[015014]"
785,"affecté","","","772","1","5/22","AIX MARSEILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","22","[034028]"
786,"affecté","","","773","1","3/5","BORDEAUX","Spécialité médicale : Médecine interne","","5","[037019]"
787,"affecté","","","774","1","4/4","BORDEAUX","Spécialité médicale : Néphrologie","","4","[037022]"
788,"affecté","","","775","1","7/22","TOULOUSE","Discipline : ANESTHÉSIE réanimation","","22","[040004]"
790,"affecté","","","777","1","1/3","NANCY","Spécialité médicale : Médecine physique et de réadaptation","","3","[018021]"
791,"affecté","","","778","1","6/611","ILE DE FRANCE","Discipline : MÉDECINE générale","","611","[015011]"
792,"affecté","","","779","1","2/6","BORDEAUX","Spécialité médicale : Oncologie","","6","[037024]"
793,"affecté","","","780","1","29/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie maxillo-faciale et stomatologie","63","[015028]"
794,"affecté","","","781","1","1/6","AIX MARSEILLE","Spécialité médicale : Pneumologie","","6","[034025]"
795,"affecté","","","782","1","3/240","LILLE","Discipline : MÉDECINE générale","","240","[023011]"
796,"affecté","","","783","1","5/16","MONTPELLIER","Discipline : ANESTHÉSIE réanimation","","16","[035004]"
798,"affecté","","","785","1","2/3","BESANCON","Spécialité médicale : Dermatologie et vénérologie","","3","[016014]"
799,"affecté","","","786","1","7/21","ILE DE FRANCE","Spécialité médicale : Gastro-entérologie et hépatologie","","21","[015016]"
800,"affecté","","","787","2","8/9","LYON","Spécialité chirurgicale : Ophtalmologie","","9","[026030]"
801,"affecté","","","788","1","2/141","STRASBOURG","Discipline : MÉDECINE générale","","141","[020011]"
802,"affecté","","","789","1","5/9","LILLE","Spécialité chirurgicale : Ophtalmologie","","9","[023030]"
803,"affecté","","","790","5","1/3","POITIERS","Spécialité chirurgicale : Ophtalmologie","","3","[031030]"
804,"affecté","","","791","1","8/10","AIX MARSEILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","10","[034026]"
805,"affecté","","","792","1","3/5","TOULOUSE","Spécialité médicale : Oncologie","","5","[040024]"
806,"affecté","","","582","1","2/5","TOULOUSE","Spécialité médicale : Dermatologie et vénérologie","","5","[040014]"
807,"affecté","","","793","1","1/4","TOULOUSE","Spécialité médicale : Endocrinologie, diabÃ¨te, maladies métaboliques","","4","[040015]"
808,"affecté","","","794","1","1/2","OCEAN INDIEN","Spécialité médicale : Cardiologie et maladies vasculaires","","2","[042013]"
809,"affecté","","","795","1","1/5","DIJON","Spécialité médicale : Oncologie","","5","[017024]"
810,"affecté","","","796","1","2/6","ROUEN","Spécialité médicale : Cardiologie et maladies vasculaires","","6","[024013]"
811,"affecté","","","797","1","4/9","TOULOUSE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","9","[040026]"
812,"affecté","","","798","1","1/14","ROUEN","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","14","[024028]"
813,"affecté","","","799","1","2/4","BORDEAUX","Spécialité médicale : Anatomie et cytologie pathologique","","4","[037012]"
814,"affecté","absence","","800","1","30/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie vasculaire","63","[015028]"
815,"affecté","absence","","801","3","1/4","MONTPELLIER","Spécialité médicale : Néphrologie","","4","[035022]"
816,"affecté","","","802","1","31/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","63","[015028]"
817,"affecté","","","803","1","1/9","NICE","Discipline : ANESTHÉSIE réanimation","","9","[036004]"
818,"affecté","","","804","1","1/7","LILLE","Spécialité médicale : Gastro-entérologie et hépatologie","","7","[023016]"
819,"ESSA","","","805","","","","pas de procédure CELINE car Etudiant du Service de Santé des Armées","","",""
820,"affecté","","","806","1","9/17","ILE DE FRANCE","Spécialité médicale : Dermatologie et vénérologie","","17","[015014]"
821,"affecté","","","807","1","2/14","STRASBOURG","Spécialité chirurgicale : Chirurgie générale","Chirurgie plastique, reconstructrice et esthétique","14","[020028]"
822,"affecté","","","808","1","13/25","LYON","Discipline : ANESTHÉSIE réanimation","","25","[026004]"
823,"affecté","","","809","1","3/6","MONTPELLIER","Spécialité médicale : Médecine interne","","6","[035019]"
824,"affecté","","","810","1","1/1","CAEN","Spécialité chirurgicale : Ophtalmologie","","1","[022030]"
825,"affecté","","","811","1","5/25","ILE DE FRANCE","Spécialité médicale : Oncologie","","25","[015024]"
826,"affecté","","","812","1","15/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
827,"affecté","absence","","813","1","1/2","AIX MARSEILLE","Discipline : GYNÉCOLOGIE médicale","","2","[034005]"
828,"affecté","","","814","1","1/4","AIX MARSEILLE","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","4","[034031]"
829,"affecté","","","815","1","3/8","NANTES","Discipline : PÉDIATRIE","","8","[030002]"
830,"affecté","","","816","1","9/10","LYON","Spécialité médicale : Cardiologie et maladies vasculaires","","10","[026013]"
831,"affecté","absence","","817","1","16/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
832,"affecté","","","818","1","23/45","ILE DE FRANCE","Spécialité médicale : Cardiologie et maladies vasculaires","","45","[015013]"
833,"affecté","","","819","1","2/8","RENNES","Spécialité médicale : Radiodiagnostic et imagerie médicale","","8","[032026]"
834,"affecté","","","820","1","2/79","BESANCON","Discipline : MÉDECINE générale","","79","[016011]"
835,"affecté","","","821","1","2/15","TOULOUSE","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","15","[040028]"
836,"affecté","","","822","1","1/4","TOURS","Spécialité médicale : Médecine interne","","4","[033019]"
837,"affecté","absence","","823","1","32/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie thoracique et cardio-vasculaire","63","[015028]"
838,"affecté","","","824","1","1/3","NICE","Spécialité médicale : Cardiologie et maladies vasculaires","","3","[036013]"
839,"affecté","","","825","1","1/8","LILLE","Spécialité médicale : Oncologie","","8","[023024]"
840,"affecté","absence","","826","1","1/107","GRENOBLE","Discipline : MÉDECINE générale","","107","[025011]"
841,"affecté","","","827","1","4/17","ILE DE FRANCE","Spécialité médicale : Pneumologie","","17","[015025]"
842,"affecté","","","828","1","4/8","NANTES","Discipline : PÉDIATRIE","","8","[030002]"
843,"affecté","","","829","1","9/21","LYON","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","21","[026028]"
844,"affecté","","","830","1","1/2","ROUEN","Spécialité médicale : Néphrologie","","2","[024022]"
845,"affecté","","","831","1","6/16","MONTPELLIER","Discipline : ANESTHÉSIE réanimation","","16","[035004]"
846,"affecté","","","832","1","5/17","ILE DE FRANCE","Spécialité médicale : Pneumologie","","17","[015025]"
847,"affecté","absence","","833","1","1/3","BORDEAUX","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","3","[037031]"
848,"affecté","","","834","1","6/6","BORDEAUX","Spécialité chirurgicale : Ophtalmologie","","6","[037030]"
849,"affecté","absence","","835","1","7/16","MONTPELLIER","Discipline : ANESTHÉSIE réanimation","","16","[035004]"
850,"affecté","","","836","1","2/7","NANCY","Spécialité médicale : Cardiologie et maladies vasculaires","","7","[018013]"
851,"affecté","","","837","1","17/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
852,"affecté","","","838","1","3/5","GRENOBLE","Spécialité chirurgicale : Ophtalmologie","","5","[025030]"
853,"affecté","","","839","1","10/17","ILE DE FRANCE","Spécialité médicale : Dermatologie et vénérologie","","17","[015014]"
854,"affecté","","","840","1","3/6","NANTES","Spécialité médicale : Radiodiagnostic et imagerie médicale","","6","[030026]"
855,"affecté","","","841","1","4/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
856,"affecté","","","842","1","10/10","LYON","Spécialité médicale : Cardiologie et maladies vasculaires","","10","[026013]"
857,"affecté","absence","","843","1","1/13","TOURS","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","13","[033028]"
858,"affecté","absence","","844","1","1/8","LILLE","Spécialité médicale : Pneumologie","","8","[023025]"
859,"affecté","absence","","845","1","2/3","STRASBOURG","Spécialité médicale : Néphrologie","","3","[020022]"
860,"affecté","","","846","2","5/5","LYON","Spécialité médicale : Néphrologie","","5","[026022]"
861,"affecté","","","847","1","33/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","63","[015028]"
862,"affecté","","","848","1","6/9","LILLE","Spécialité chirurgicale : Ophtalmologie","","9","[023030]"
863,"affecté","","","849","1","1/5","SAINT ETIENNE","Spécialité chirurgicale : Ophtalmologie","","5","[027030]"
864,"affecté","","","850","1","3/14","NANTES","Spécialité chirurgicale : Chirurgie générale","Chirurgie maxillo-faciale et stomatologie","14","[030028]"
865,"affecté","","","851","1","6/25","ILE DE FRANCE","Spécialité médicale : Oncologie","","25","[015024]"
866,"affecté","","","852","1","5/31","LILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","31","[023028]"
867,"affecté","","","853","1","1/3","POITIERS","Spécialité médicale : Rhumatologie","","3","[031027]"
868,"affecté","","","854","1","2/8","LILLE","Spécialité médicale : Pneumologie","","8","[023025]"
869,"affecté","","","855","1","8/22","TOULOUSE","Discipline : ANESTHÉSIE réanimation","","22","[040004]"
870,"affecté","","","856","1","4/8","AIX MARSEILLE","Spécialité médicale : Cardiologie et maladies vasculaires","","8","[034013]"
871,"affecté","","","857","1","34/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","63","[015028]"
872,"affecté","","","858","1","18/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
873,"affecté","","","859","1","1/3","RENNES","Spécialité médicale : Neurologie","","3","[032023]"
874,"affecté","","","860","1","19/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
875,"affecté","","","861","1","9/13","LYON","Spécialité médicale : Radiodiagnostic et imagerie médicale","","13","[026026]"
876,"affecté","","","862","1","5/5","MONTPELLIER","Spécialité médicale : Dermatologie et vénérologie","","5","[035014]"
877,"affecté","","","863","1","10/21","LYON","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","21","[026028]"
878,"affecté","","","531","1","3/17","LYON","Discipline : PÉDIATRIE","","17","[026002]"
879,"affecté","","","864","2","8/16","MONTPELLIER","Discipline : ANESTHÉSIE réanimation","","16","[035004]"
880,"affecté","absence","","865","1","2/10","LYON","Discipline : GYNÉCOLOGIE obstétrique","","10","[026009]"
881,"affecté","","","866","1","1/4","TOULOUSE","Spécialité médicale : Neurologie","","4","[040023]"
