;Etat;Absence;CESP;Etudiant;Voeu;Rang;Subdivision;Discipline;Désir (non officiel);Offre;SubDis;;
596;simulé;;;586;1;4/9;ILE DE FRANCE;Spécialité médicale : Hématologie;;9;[015018];;
597;simulé;absence;;587;1;2/12;MONTPELLIER;Discipline : PÉDIATRIE;;12;[035002];;
598;simulé;;;588;1;7/10;BORDEAUX;Spécialité médicale : Radiodiagnostic et imagerie médicale;;10;[037026];;
599;simulé;;;589;1;3/4;TOULOUSE;Spécialité médicale : Néphrologie;;4;[040022];;
600;simulé;;;590;1;2/15;ILE DE FRANCE;Spécialité médicale : Rhumatologie;;15;[015027];;
601;simulé;;;591;1;7/16;BORDEAUX;Discipline : ANESTHÉSIE réanimation;;16;[037004];;
602;simulé;;;592;1;13/92;ILE DE FRANCE;Discipline : ANESTHÉSIE réanimation;;92;[015004];;
603;simulé;;;593;1;1/3;AMIENS;Spécialité médicale : Pneumologie;;3;[021025];;
604;simulé;;;594;1;3/7;LILLE;Spécialité médicale : Neurologie;;7;[023023];;
605;simulé;;;595;1;3/5;BESANCON;Spécialité médicale : Cardiologie et maladies vasculaires;;5;[016013];;
606;simulé;;;596;2;1/2;RENNES;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;2;[032031];;
607;simulé;;;597;1;8/16;BORDEAUX;Discipline : ANESTHÉSIE réanimation;;16;[037004];;
608;simulé;;;598;1;2/4;RENNES;Spécialité médicale : Gastro-entérologie et hépatologie;;4;[032016];;
609;simulé;;;599;1;6/6;NANTES;Spécialité médicale : Cardiologie et maladies vasculaires;;6;[030013];;
610;simulé;;;600;1;1/63;ANTILLES-GUYANE;Discipline : MÉDECINE générale;;63;[041011];;
611;simulé;;;601;1;14/92;ILE DE FRANCE;Discipline : ANESTHÉSIE réanimation;;92;[015004];;
612;simulé;;;602;1;4/6;TOULOUSE;Spécialité chirurgicale : Ophtalmologie;;6;[040030];;
613;simulé;;;603;1;2/3;STRASBOURG;Spécialité médicale : Rhumatologie;;3;[020027];;
614;simulé;;;604;1;2/14;NANTES;Spécialité chirurgicale : Chirurgie générale;Chirurgie viscérale et digestive;14;[030028];;
615;simulé;;;605;1;3/11;LILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;11;[023013];;
616;simulé;;;606;2;9/17;ILE DE FRANCE;Spécialité médicale : Dermatologie et vénérologie;;17;[015014];;
617;simulé;;;607;1;26/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
618;simulé;;;608;1;2/5;BORDEAUX;Spécialité médicale : Médecine interne;;5;[037019];;
619;simulé;;;609;1;6/9;LYON;Spécialité chirurgicale : Ophtalmologie;;9;[026030];;
620;simulé;;;610;1;7/9;LYON;Spécialité chirurgicale : Ophtalmologie;;9;[026030];;
621;simulé;;;611;1;1/3;ANGERS;Spécialité médicale : Gastro-entérologie et hépatologie;;3;[028016];;
622;simulé;;;612;1;14/15;ILE DE FRANCE;Spécialité médicale : Néphrologie;;15;[015022];;
623;simulé;;;613;1;4/5;LYON;Spécialité médicale : Néphrologie;;5;[026022];;
624;simulé;;;614;1;3/4;TOULOUSE;Discipline : GYNÉCOLOGIE médicale;;4;[040005];;
625;simulé;;;615;1;20/63;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;63;[015028];
626;simulé;;;616;1;17/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
627;simulé;absence;;617;1;4/179;LYON;Discipline : MÉDECINE générale;;179;[026011];;
628;simulé;;;618;1;6/21;LYON;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;21;[026028];;
629;simulé;;;619;1;4/11;LILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;11;[023013];;
630;simulé;absence;;620;1;2/8;NANTES;Discipline : PÉDIATRIE;;8;[030002];;
631;simulé;;;621;1;1/85;NICE;Discipline : MÉDECINE générale;;85;[036011];;
632;simulé;;;622;1;5/7;MONTPELLIER;Spécialité médicale : Radiodiagnostic et imagerie médicale;;7;[035026];;
633;simulé;;;623;1;8/10;BORDEAUX;Spécialité médicale : Radiodiagnostic et imagerie médicale;;10;[037026];;
634;simulé;;;53;1;3/4;BORDEAUX;Spécialité médicale : Néphrologie;;4;[037022];;
635;simulé;;;624;1;4/7;MONTPELLIER;Spécialité médicale : Cardiologie et maladies vasculaires;;7;[035013];;
636;simulé;;;625;1;4/4;BORDEAUX;Spécialité médicale : Néphrologie;;4;[037022];;
637;simulé;;;626;1;11/18;ILE DE FRANCE;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;18;[015031];;
638;simulé;;;627;1;20/45;ILE DE FRANCE;Spécialité médicale : Cardiologie et maladies vasculaires;;45;[015013];;
639;simulé;;;628;1;7/8;LYON;Spécialité médicale : Médecine interne;;8;[026019];;
640;simulé;;;629;1;7/21;LYON;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;21;[026028];
641;simulé;;;630;1;21/63;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;63;[015028];;
642;simulé;absence;;631;1;1/225;AIX MARSEILLE;Discipline : MÉDECINE générale;;225;[034011];;
643;simulé;;;632;2;15/92;ILE DE FRANCE;Discipline : ANESTHÉSIE réanimation;;92;[015004];;
644;simulé;;;633;1;2/5;MONTPELLIER;Spécialité médicale : Dermatologie et vénérologie;;5;[035014];;
645;simulé;;;634;1;1/12;ANGERS;Spécialité chirurgicale : Chirurgie générale;Chirurgie vasculaire;12;[028028];;
646;simulé;absence;;635;1;1/102;ILE DE FRANCE;Discipline : PSYCHIATRIE;;102;[015010];;
647;simulé;;;636;1;2/6;LYON;Spécialité médicale : Neurologie;;6;[026023];;
648;simulé;;;637;1;2/3;ROUEN;Spécialité médicale : Dermatologie et vénérologie;;3;[024014];;
649;simulé;;;638;1;3/5;BORDEAUX;Spécialité médicale : Gastro-entérologie et hépatologie;;5;[037016];;
650;simulé;;;639;1;2/5;GRENOBLE;Spécialité chirurgicale : Ophtalmologie;;5;[025030];;
651;simulé;;;640;1;16/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
652;simulé;;;641;1;5/11;LILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;11;[023013];;
653;simulé;;;642;1;8/45;ILE DE FRANCE;Discipline : GYNÉCOLOGIE obstétrique;;45;[015009];;
654;simulé;;;643;1;4/6;AIX MARSEILLE;Spécialité chirurgicale : Ophtalmologie;;6;[034030];;
655;simulé;;;644;1;2/102;ILE DE FRANCE;Discipline : PSYCHIATRIE;;102;[015010];;
656;simulé;;;645;1;6/7;MONTPELLIER;Spécialité médicale : Radiodiagnostic et imagerie médicale;;7;[035026];;
657;simulé;;;646;1;3/6;LYON;Spécialité médicale : Neurologie;;6;[026023];;
658;simulé;absence;;647;1;3/17;ILE DE FRANCE;Spécialité médicale : Pneumologie;;17;[015025];;
659;simulé;;;648;1;1/2;NICE;Spécialité chirurgicale : Ophtalmologie;;2;[036030];;
660;simulé;absence;;649;1;3/31;LILLE;Spécialité chirurgicale : Chirurgie générale;Chirurgie urologique;31;[023028];;
661;simulé;;;650;1;3/6;LYON;Spécialité médicale : Pneumologie;;6;[026025];;
662;simulé;;;651;1;5/10;AIX MARSEILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;10;[034026];;
663;simulé;;;652;1;3/12;MONTPELLIER;Discipline : PÉDIATRIE;;12;[035002];;
664;simulé;;;653;1;11/79;ILE DE FRANCE;Discipline : PÉDIATRIE;;79;[015002];;
665;simulé;absence;;654;1;3/9;TOULOUSE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;9;[040026];;
666;simulé;;;655;1;2/2;NICE;Spécialité chirurgicale : Ophtalmologie;;2;[036030];;
667;simulé;;;656;1;1/3;RENNES;Spécialité médicale : Dermatologie et vénérologie;;3;[032014];;
668;simulé;;;657;1;3/6;NANTES;Spécialité médicale : Radiodiagnostic et imagerie médicale;;6;[030026];;
669;simulé;;;658;1;27/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
670;simulé;;;659;3;3/6;BORDEAUX;Spécialité chirurgicale : Ophtalmologie;;6;[037030];;
671;simulé;;;660;1;5/22;TOULOUSE;Discipline : ANESTHÉSIE réanimation;;22;[040004];;
672;simulé;;;661;1;1/6;TOULOUSE;Discipline : GYNÉCOLOGIE obstétrique;;6;[040009];;
673;simulé;;;662;1;4/6;BORDEAUX;Spécialité chirurgicale : Ophtalmologie;;6;[037030];;
674;simulé;;;663;1;1/5;ROUEN;Spécialité médicale : Gastro-entérologie et hépatologie;;5;[024016];;
675;simulé;;;664;1;2/3;NICE;Spécialité médicale : Oncologie;;3;[036024];;
676;simulé;absence;;665;1;2/2;RENNES;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;2;[032031];;
677;simulé;absence;;666;1;10/25;LYON;Discipline : ANESTHÉSIE réanimation;;25;[026004];;
678;simulé;;;667;1;1/10;LYON;Discipline : GYNÉCOLOGIE obstétrique;;10;[026009];;
679;simulé;;;668;1;7/7;MONTPELLIER;Spécialité médicale : Radiodiagnostic et imagerie médicale;;7;[035026];;
680;simulé;absence;;669;1;11/25;LYON;Discipline : ANESTHÉSIE réanimation;;25;[026004];;
681;simulé;;;670;2;5/6;TOULOUSE;Spécialité chirurgicale : Ophtalmologie;;6;[040030];;
682;simulé;;;671;1;22/63;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie infantile;63;[015028];;
683;simulé;;;672;1;6/9;BORDEAUX;Spécialité médicale : Cardiologie et maladies vasculaires;;9;[037013];;
684;simulé;;;673;1;4/6;LYON;Spécialité médicale : Pneumologie;;6;[026025];;
685;simulé;;;674;1;1/6;BREST;Discipline : ANESTHÉSIE réanimation;;6;[029004];;
686;rien;;;675;;;;car aucun vœu;;;;;
687;simulé;;;676;1;6/17;LILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;17;[023026];;
688;simulé;;;221;1;7/17;LILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;17;[023026];;
689;simulé;;;677;1;1/1;GRENOBLE;Discipline : GYNÉCOLOGIE médicale;;1;[025005];;
690;simulé;;;678;1;4/9;LILLE;Spécialité chirurgicale : Ophtalmologie;;9;[023030];;
691;simulé;;;679;1;4/5;BORDEAUX;Spécialité médicale : Gastro-entérologie et hépatologie;;5;[037016];;
692;simulé;;;680;1;3/8;AIX MARSEILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;8;[034013];;
693;simulé;;;681;1;6/22;TOULOUSE;Discipline : ANESTHÉSIE réanimation;;22;[040004];;
694;simulé;;;682;1;8/17;LILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;17;[023026];;
695;simulé;;;683;1;4/5;STRASBOURG;Spécialité chirurgicale : Ophtalmologie;;5;[020030];;
696;simulé;;;684;1;6/10;AIX MARSEILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;10;[034026];;
697;simulé;;;685;1;4/4;TOULOUSE;Spécialité médicale : Médecine interne;;4;[040019];;
698;simulé;;;686;1;4/6;LILLE;Spécialité médicale : Médecine interne;;6;[023019];;
699;simulé;;;687;1;1/8;RENNES;Spécialité médicale : Radiodiagnostic et imagerie médicale;;8;[032026];;
700;simulé;;;688;1;5/179;LYON;Discipline : MÉDECINE générale;;179;[026011];;
701;simulé;;;689;1;3/102;ILE DE FRANCE;Discipline : PSYCHIATRIE;;102;[015010];;
702;simulé;;;690;1;3/4;BORDEAUX;Spécialité médicale : Neurologie;;4;[037023];;
703;simulé;;;691;1;3/4;RENNES;Spécialité médicale : Gastro-entérologie et hépatologie;;4;[032016];;
704;simulé;;;692;1;2/4;BORDEAUX;Spécialité médicale : Endocrinologie, diabète, maladies métaboliques; diabÃ¨te; maladies métaboliques;;4;[037015]
705;simulé;;;693;1;9/17;LILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;17;[023026];;
706;simulé;;;694;1;3/6;AIX MARSEILLE;Spécialité médicale : Médecine interne;;6;[034019];;
707;simulé;;;695;2;28/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
708;simulé;;;696;1;8/8;LYON;Spécialité médicale : Médecine interne;;8;[026019];;
709;simulé;;;697;1;3/12;ILE DE FRANCE;Spécialité médicale : Anatomie et cytologie pathologique;;12;[015012];;
710;simulé;;;698;2;6/11;LILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;11;[023013];;
711;simulé;;;699;2;4/9;TOULOUSE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;9;[040026];;
712;simulé;;;700;1;1/13;NANCY;Discipline : ANESTHÉSIE réanimation;;13;[018004];;
713;simulé;;;701;1;9/10;BORDEAUX;Spécialité médicale : Radiodiagnostic et imagerie médicale;;10;[037026];;
714;simulé;;;702;1;3/25;ILE DE FRANCE;Spécialité médicale : Oncologie;;25;[015024];;
715;simulé;;;703;1;1/4;BREST;Spécialité médicale : Radiodiagnostic et imagerie médicale;;4;[029026];;
716;simulé;;;704;1;12/79;ILE DE FRANCE;Discipline : PÉDIATRIE;;79;[015002];;
717;simulé;;;705;1;23/63;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;63;[015028];;
718;simulé;;;706;1;;NANCY;Spécialité médicale : Radiodiagnostic et imagerie médicale;;10;[018026];;
719;simulé;;;707;1;;MONTPELLIER;Spécialité médicale : Cardiologie et maladies vasculaires;;7;[035013];;
720;simulé;;;708;1;;AIX MARSEILLE;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;22;[034028];
721;simulé;absence;;709;1;;ILE DE FRANCE;Discipline : GYNÉCOLOGIE obstétrique;;45;[015009];;
722;simulé;;;710;1;;ILE DE FRANCE;Spécialité médicale : Cardiologie et maladies vasculaires;;45;[015013];;
723;simulé;;;711;1;;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
724;simulé;;;712;1;;SAINT ETIENNE;Spécialité médicale : Cardiologie et maladies vasculaires;;3;[027013];;
725;simulé;;;713;2;;LYON;Spécialité médicale : Radiodiagnostic et imagerie médicale;;13;[026026];;
726;simulé;;;714;1;;LILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;11;[023013];;
727;simulé;;;715;1;;ILE DE FRANCE;Discipline : PÉDIATRIE;;79;[015002];;
728;simulé;absence;;716;1;;GRENOBLE;Spécialité médicale : Hématologie;;2;[025018];;
729;simulé;;;717;1;;AIX MARSEILLE;Spécialité médicale : Gastro-entérologie et hépatologie;;5;[034016];;
730;simulé;absence;;718;2;;LYON;Spécialité médicale : Dermatologie et vénérologie;;4;[026014];;
731;simulé;;;719;1;;ILE DE FRANCE;Spécialité médicale : Rhumatologie;;15;[015027];;
732;simulé;;;720;1;;TOULOUSE;Spécialité médicale : Cardiologie et maladies vasculaires;;9;[040013];;
733;simulé;;;721;2;;AMIENS;Spécialité chirurgicale : Ophtalmologie;;4;[021030];;
734;simulé;absence;;722;1;;LILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;17;[023026];;
735;simulé;;;723;1;;NANTES;Spécialité médicale : Gastro-entérologie et hépatologie;;4;[030016];;
736;simulé;;;724;1;;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
737;simulé;;;725;1;;BORDEAUX;Spécialité chirurgicale : Ophtalmologie;;6;[037030];;
738;simulé;;;726;1;;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie maxillo-faciale et stomatologie;63;[015028];;
739;simulé;;;727;1;;BORDEAUX;Spécialité chirurgicale : Ophtalmologie;;6;[037030];;
740;simulé;;;728;1;;NANTES;Spécialité médicale : Médecine interne;;4;[030019];;
741;simulé;;;729;2;;NANTES;Spécialité chirurgicale : Ophtalmologie;;4;[030030];;
742;simulé;;;730;1;;ILE DE FRANCE;Discipline : PÉDIATRIE;;79;[015002];;
743;simulé;;;731;1;;LYON;Spécialité médicale : Gastro-entérologie et hépatologie;;7;[026016];;
744;simulé;;;732;1;;NANTES;Spécialité médicale : Dermatologie et vénérologie;;3;[030014];;
745;simulé;;;733;1;;NICE;Discipline : PÉDIATRIE;;6;[036002];;
746;simulé;;;734;1;;RENNES;Spécialité médicale : Radiodiagnostic et imagerie médicale;;8;[032026];;
747;simulé;;;735;1;;ILE DE FRANCE;Discipline : MÉDECINE générale;;611;[015011];;
748;simulé;;;736;1;;STRASBOURG;Spécialité chirurgicale : Ophtalmologie;;5;[020030];;
749;simulé;;;737;1;;MONTPELLIER;Spécialité médicale : Rhumatologie;;4;[035027];;
750;simulé;;;738;1;;LILLE;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;31;[023028];;
751;simulé;;;739;2;;LYON;Discipline : ANESTHÉSIE réanimation;;25;[026004];;
752;simulé;;;740;1;;ILE DE FRANCE;Discipline : GYNÉCOLOGIE obstétrique;;45;[015009];;
753;simulé;;;741;1;;BORDEAUX;Spécialité médicale : Radiodiagnostic et imagerie médicale;;10;[037026];;
754;simulé;absence;;742;1;;ILE DE FRANCE;Spécialité médicale : Oncologie;;25;[015024];;
755;simulé;;;743;1;;STRASBOURG;Discipline : ANESTHÉSIE réanimation;;13;[020004];;
756;simulé;;;744;1;;LILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;11;[023013];;
757;simulé;;;745;1;;BORDEAUX;Spécialité médicale : Oncologie;;6;[037024];;
758;simulé;;;746;1;;LYON;Discipline : MÉDECINE générale;;179;[026011];;
759;simulé;;;747;1;;ILE DE FRANCE;Spécialité médicale : Dermatologie et vénérologie;;17;[015014];;
760;simulé;;;748;1;;STRASBOURG;Discipline : PSYCHIATRIE;;13;[020010];;
761;simulé;;;749;1;;MONTPELLIER;Discipline : PÉDIATRIE;;12;[035002];;
762;simulé;;;750;1;;MONTPELLIER;Spécialité médicale : Cardiologie et maladies vasculaires;;7;[035013];;
763;simulé;;;751;1;;MONTPELLIER;Discipline : ANESTHÉSIE réanimation;;16;[035004];;
764;simulé;;;752;1;;ILE DE FRANCE;Spécialité médicale : Dermatologie et vénérologie;;17;[015014];;
765;simulé;;;753;1;;RENNES;Spécialité médicale : Médecine interne;;3;[032019];;
766;simulé;;;754;1;;RENNES;Spécialité médicale : Cardiologie et maladies vasculaires;;7;[032013];;
767;simulé;;;755;1;;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;63;[015028];;
768;simulé;;;756;1;;ILE DE FRANCE;Spécialité médicale : Gastro-entérologie et hépatologie;;21;[015016];;
769;simulé;;;757;1;;TOURS;Discipline : MÉDECINE générale;;93;[033011];;
770;simulé;;;758;2;;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
771;simulé;;;759;1;;LILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;11;[023013];;
772;simulé;;;760;1;;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
773;simulé;;;761;1;;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;63;[015028];;
774;simulé;absence;;762;1;;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
775;simulé;;;763;1;;ILE DE FRANCE;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;18;[015031];;
776;simulé;;;764;1;;AIX MARSEILLE;Discipline : PÉDIATRIE;;17;[034002];;
777;simulé;absence;;765;1;;TOURS;Spécialité médicale : Cardiologie et maladies vasculaires;;7;[033013];;
778;simulé;;;766;1;;LYON;Spécialité médicale : Cardiologie et maladies vasculaires;;10;[026013];;
779;simulé;;;767;1;;ILE DE FRANCE;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;18;[015031];;
780;simulé;;;768;1;;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
781;simulé;;;769;1;;LYON;Spécialité chirurgicale : Chirurgie générale;Chirurgie urologique;21;[026028];;
782;simulé;;;770;1;;LILLE;Discipline : ANESTHÉSIE réanimation;;29;[023004];;
783;simulé;;;771;1;;ILE DE FRANCE;Spécialité médicale : Dermatologie et vénérologie;;17;[015014];;
784;simulé;;;772;1;;AIX MARSEILLE;Spécialité chirurgicale : Chirurgie générale;Chirurgie maxillo-faciale et stomatologie;22;[034028];;
785;simulé;;;773;2;;BORDEAUX;Spécialité médicale : Médecine interne;;5;[037019];;
786;simulé;;;774;1;;LYON;Spécialité médicale : Néphrologie;;5;[026022];;
787;simulé;;;775;1;;TOULOUSE;Discipline : ANESTHÉSIE réanimation;;22;[040004];;
788;simulé;;;776;1;;LYON;Discipline : PSYCHIATRIE;;22;[026010];;
789;simulé;;;777;1;;NANCY;Spécialité médicale : Médecine physique et de réadaptation;;3;[018021];;
790;simulé;;;778;1;;ILE DE FRANCE;Discipline : MÉDECINE générale;;611;[015011];;
791;simulé;;;779;1;;BORDEAUX;Spécialité médicale : Oncologie;;6;[037024];;
792;simulé;;;780;1;;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie maxillo-faciale et stomatologie;63;[015028];;
793;simulé;;;781;1;;AIX MARSEILLE;Spécialité chirurgicale : Chirurgie générale;Chirurgie thoracique et cardio-vasculaire;22;[034028];;
794;simulé;;;782;1;;LILLE;Discipline : MÉDECINE générale;;240;[023011];;
795;simulé;;;783;1;;MONTPELLIER;Discipline : ANESTHÉSIE réanimation;;16;[035004];;
797;simulé;;;785;1;;BESANCON;Spécialité médicale : Dermatologie et vénérologie;;3;[016014];;
798;simulé;;;786;1;;ILE DE FRANCE;Spécialité médicale : Gastro-entérologie et hépatologie;;21;[015016];;
799;simulé;;;787;2;;LYON;Spécialité chirurgicale : Ophtalmologie;;9;[026030];;
800;simulé;;;788;1;;STRASBOURG;Discipline : MÉDECINE générale;;141;[020011];;
801;simulé;;;789;1;;LILLE;Spécialité chirurgicale : Ophtalmologie;;9;[023030];;
802;simulé;;;790;1;;RENNES;Spécialité chirurgicale : Ophtalmologie;;3;[032030];;
803;simulé;;;791;1;;AIX MARSEILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;10;[034026];;
804;simulé;;;792;1;;TOULOUSE;Spécialité médicale : Oncologie;;5;[040024];;
805;simulé;;;582;1;;TOULOUSE;Spécialité médicale : Dermatologie et vénérologie;;5;[040014];;
806;simulé;;;793;1;;TOULOUSE;Spécialité médicale : Endocrinologie, diabète, maladies métaboliques;;4;[040015];;
807;simulé;;;794;1;;OCEAN INDIEN;Spécialité médicale : Cardiologie et maladies vasculaires;;2;[042013];;
808;simulé;;;795;1;;DIJON;Spécialité médicale : Oncologie;;5;[017024];;
809;simulé;;;796;1;;ROUEN;Spécialité médicale : Cardiologie et maladies vasculaires;;6;[024013];;
810;simulé;;;797;1;;TOULOUSE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;9;[040026];;
811;simulé;;;798;1;;ROUEN;Spécialité chirurgicale : Chirurgie générale;Chirurgie urologique;14;[024028];;
812;rien;;;799;;;;car aucun vœu;;;;;
813;simulé;absence;;800;1;;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie vasculaire;63;[015028];;
814;simulé;absence;;801;1;;TOULOUSE;Spécialité médicale : Néphrologie;;4;[040022];;
815;simulé;;;802;1;;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;63;[015028];;
816;simulé;;;803;1;;NICE;Discipline : ANESTHÉSIE réanimation;;9;[036004];;
817;simulé;;;804;1;;LILLE;Spécialité médicale : Gastro-entérologie et hépatologie;;7;[023016];;
818;ESSA;;;805;;;;pas de procédure CELINE car Etudiant du Service de Santé des Armées;;;;;
819;simulé;;;806;2;;ILE DE FRANCE;Spécialité médicale : Dermatologie et vénérologie;;17;[015014];;
820;simulé;;;807;1;;STRASBOURG;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;14;[020028];
821;simulé;;;808;1;;LYON;Discipline : ANESTHÉSIE réanimation;;25;[026004];;
822;simulé;;;809;1;;MONTPELLIER;Spécialité médicale : Médecine interne;;6;[035019];;
823;simulé;;;810;1;;CAEN;Spécialité chirurgicale : Ophtalmologie;;1;[022030];;
824;simulé;;;811;1;;ILE DE FRANCE;Spécialité médicale : Oncologie;;25;[015024];;
825;simulé;;;812;1;;LYON;Spécialité chirurgicale : Ophtalmologie;;9;[026030];;
826;simulé;;;813;1;;AIX MARSEILLE;Discipline : GYNÉCOLOGIE médicale;;2;[034005];;
827;simulé;;;814;1;;AIX MARSEILLE;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;4;[034031];;
828;simulé;;;815;1;;NANTES;Discipline : PÉDIATRIE;;8;[030002];;
829;simulé;;;816;1;;LYON;Spécialité médicale : Cardiologie et maladies vasculaires;;10;[026013];;
830;simulé;;;817;1;;ILE DE FRANCE;Discipline : ANESTHÉSIE réanimation;;92;[015004];;
831;simulé;;;818;1;;ILE DE FRANCE;Spécialité médicale : Cardiologie et maladies vasculaires;;45;[015013];;
832;simulé;;;819;1;;RENNES;Spécialité médicale : Radiodiagnostic et imagerie médicale;;8;[032026];;
833;simulé;;;820;1;;BESANCON;Discipline : MÉDECINE générale;;79;[016011];;
834;simulé;;;821;1;;TOULOUSE;Spécialité chirurgicale : Chirurgie générale;Chirurgie urologique;15;[040028];;
835;simulé;;;822;1;;TOURS;Spécialité médicale : Médecine interne;;4;[033019];;
836;simulé;absence;;823;1;;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie thoracique et cardio-vasculaire;63;[015028];;
837;simulé;;;824;1;;NICE;Spécialité médicale : Cardiologie et maladies vasculaires;;3;[036013];;
838;simulé;;;825;1;;LILLE;Spécialité médicale : Oncologie;;8;[023024];;
839;simulé;absence;;826;1;;GRENOBLE;Discipline : MÉDECINE générale;;107;[025011];;
840;simulé;;;827;1;;ILE DE FRANCE;Spécialité médicale : Pneumologie;;17;[015025];;
841;simulé;;;828;1;;NANTES;Discipline : PÉDIATRIE;;8;[030002];;
842;simulé;;;829;1;;LYON;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;21;[026028];;
843;simulé;;;830;1;;ROUEN;Spécialité médicale : Néphrologie;;2;[024022];;
844;simulé;;;831;1;;MONTPELLIER;Discipline : ANESTHÉSIE réanimation;;16;[035004];;
845;simulé;;;832;1;;ILE DE FRANCE;Spécialité médicale : Pneumologie;;17;[015025];;
846;simulé;;;833;1;;BORDEAUX;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;3;[037031];;
847;simulé;;;834;4;;TOULOUSE;Spécialité chirurgicale : Ophtalmologie;;6;[040030];;
848;simulé;;;835;1;;MONTPELLIER;Discipline : ANESTHÉSIE réanimation;;16;[035004];;
849;simulé;;;836;1;;NANCY;Spécialité médicale : Cardiologie et maladies vasculaires;;7;[018013];;
850;simulé;;;837;1;;ILE DE FRANCE;Discipline : ANESTHÉSIE réanimation;;92;[015004];;
851;simulé;;;838;3;;AIX MARSEILLE;Spécialité chirurgicale : Ophtalmologie;;6;[034030];;
852;simulé;;;839;1;;ILE DE FRANCE;Spécialité médicale : Dermatologie et vénérologie;;17;[015014];;
853;simulé;;;840;1;;NANTES;Spécialité médicale : Radiodiagnostic et imagerie médicale;;6;[030026];;
854;simulé;;;841;1;;TOULOUSE;Discipline : MÉDECINE générale;;157;[040011];;
